=================================
=  Serbia

Matija Popović,               M,  1.93 m,  b. 8 Jan 2006 @ Altötting
Radosav Petrović,             M,  1.93 m,  b. 8 Mar 1989 @ Ub
Slobodan Rajković,            D,  1.95 m,  b. 3 Feb 1989 @ Belgrade

Neven Subotić,                D,  1.93 m,  b. 10 Dec 1988 @ Banja Luka
Miralem Sulejmani,            M,  1.78 m,  b. 5 Dec 1988 @ Belgrade
Dušan Tadić,                  M,  1.81 m,  b. 20 Nov 1988 @ Bačka Topola
Ivan Radovanović,             M,  1.86 m,  b. 29 Aug 1988 @ Belgrade
Dejan Karan,                  D,  1.88 m,  b. 13 Aug 1988 @ Novi Sad
Nemanja Matić,                M,  1.94 m,  b. 1 Aug 1988 @ Šabac
Ivan Obradović,               D,  1.81 m,  b. 25 Jul 1988 @ Belgrade
Branislav Danilović,          G,  1.90 m,  b. 24 Jun 1988 @ Belgrade
Denis Petric,                 G,  1.86 m,  b. 24 May 1988 @ Ljubljana

Vladimir Bajić,               G,  1.91 m,  b. 28 Nov 1987 @ Novi Sad
Filip Djordjević,             F,  1.86 m,  b. 28 Sep 1987 @ Belgrade
Bojan Šaranov,                G,  1.88 m,  b. 22 Sep 1987 @ Belgrade
Zdravko Kuzmanović,           M,  1.86 m,  b. 22 Sep 1987 @ Berne
Žarko Udovičić,               M,  1.85 m,  b. 31 Aug 1987 @ Užice
Nenad Tomović,                D,  1.84 m,  b. 30 Aug 1987 @ Kragujevac
Zoran Tošić,                  M,  1.71 m,  b. 28 Apr 1987 @ Zrenjanin
Gojko Kačar,                  M,  1.86 m,  b. 26 Jan 1987 @ Novi Sad
Nikola Mitrović,              M,  1.80 m,  b. 2 Jan 1987 @ Kruševac

Milan Gajić,                  M,  1.82 m,  b. 17 Nov 1986 @ Kruševac
Nikola Djurdjić,              F,  1.84 m,  b. 1 Apr 1986 @ Pirot

Aleksandar Kolarov,           D,  1.87 m,  b. 10 Nov 1985 @ Belgrade
Marko Blažić,                 M,  1.78 m,  b. 2 Aug 1985 @ Mladenovac
Duško Tošić,                  D,  1.81 m,  b. 19 Jan 1985 @ Zrenjanin

Miloš Ninković,               M,  1.80 m,  b. 25 Dec 1984 @ Belgrade
Miloš Krasić,                 M,  1.86 m,  b. 1 Nov 1984 @ Belgrade
Nemanja Rnić,                 D,  1.79 m,  b. 30 Sep 1984 @ Belgrade
Aleksandar Todorovski,        D,  1.81 m,  b. 26 Feb 1984 @ Kraljevo
Branislav Ivanović,           D,  1.88 m,  b. 22 Feb 1984 @ Sremska Mitrovica
Antonio Rukavina,             D,  1.76 m,  b. 26 Jan 1984 @ Belgrade
Dragan Mrdja,                 F,  1.87 m,  b. 23 Jan 1984 @ Belgrade

Djordje Kamber,               D,  1.83 m,  b. 20 Nov 1983 @ Kragujevac
Vladimir Stojković,           G,  1.95 m,  b. 28 Jul 1983 @ Loznica
Danko Lazović,                F,  1.85 m,  b. 17 May 1983 @ Kragujevac
Nenad Milijaš,                M,  1.88 m,  b. 30 Apr 1983 @ Belgrade

Aleksandar Luković,           D,  1.84 m,  b. 23 Oct 1982 @ Kraljevo

Nemanja Vidić,                D,  1.88 m,  b. 21 Oct 1981 @ Užice
Milan Jovanović,              M,  1.83 m,  b. 18 Apr 1981 @ Bajina Bašta

Andjelko Djuričić,            G,  1.93 m,  b. 21 Nov 1980 @ Zemun
Nikola Žigić,                 F,  2.02 m,  b. 25 Sep 1980 @ Bačka Topola
Bojan Isailović,              G,  1.87 m,  b. 25 Mar 1980 @ Belgrade

Marko Pantelić,               F,  1.83 m,  b. 15 Sep 1978 @ Belgrade
Dejan Stanković,              M,  1.81 m,  b. 11 Sep 1978 @ Belgrade
