=================================
=  France

Iron Gomis,                   M,  1.82 m,  b. 8 Nov 1999 @ Marseille
Lilian Brassier,              D,  1.84 m,  b. 2 Nov 1999 @ Argenteuil
Simon Elisor,                 F,  1.86 m,  b. 22 Jul 1999 @ Périgueux
Adrien Lebeau,                M,  1.75 m,  b. 8 Jul 1999 @ Vénissieux
Moussa Diaby,                 F,  1.70 m,  b. 7 Jul 1999 @ Paris
Dan-Axel Zagadou,             D,  1.95 m,  b. 3 Jun 1999 @ Créteil
Ibrahima Konaté,              D,  1.93 m,  b. 25 May 1999 @ Paris
Boris Moltenis,               D,  1.85 m,  b. 8 May 1999 @ Belfort
Mattéo Guendouzi,             M,  1.80 m,  b. 14 Apr 1999 @ Poissy
Modibo Sagnan,                D,  1.87 m,  b. 14 Apr 1999 @ Saint-Denis
Stanley Nsoki,                D,  1.85 m,  b. 9 Apr 1999 @ Poissy
Gregoire Coudert,             G,  1.88 m,  b. 3 Apr 1999 @ Rodez
Boubakary Soumaré,            M,  1.88 m,  b. 27 Feb 1999 @ Noisy-le-Sec
Nabil Alioui,                 F,  1.75 m,  b. 18 Feb 1999 @ Toulon
Alban Lafont,                 G,  1.93 m,  b. 23 Jan 1999 @ Ouagadougou
Youssouf Fofana,              M,  1.76 m,  b. 10 Jan 1999 @ Paris
Nicolas Cozza,                D,  1.78 m,  b. 8 Jan 1999 @ Ganges

Kylian Mbappé,                F,  1.78 m,  b. 20 Dec 1998 @ Paris
Stéphane Diarra,              M,  1.73 m,  b. 9 Dec 1998 @ Abidjan
Randal Kolo Muani,            F,  1.87 m,  b. 5 Dec 1998 @ Bondy
Armand Laurienté,             F,  1.71 m,  b. 4 Dec 1998 @ Gonesse
Lucas Perrin,                 D,  1.87 m,  b. 19 Nov 1998 @ Marseille
Jules Koundé,                 D,  1.78 m,  b. 12 Nov 1998 @ Paris
Dayot Upamecano,              D,  1.88 m,  b. 27 Oct 1998 @ Evreux
Théo Sainte-Luce,             D,  1.81 m,  b. 20 Oct 1998 @ Chauny
Bilal Boutobba,               M,  1.75 m,  b. 29 Aug 1998 @ Marseille
Yannis Letard,                D,  1.88 m,  b. 18 Aug 1998 @ Saint-Herblain
Ronaël Pierre-Gabriel,        D,  1.77 m,  b. 13 Aug 1998 @ Paris
Romain Faivre,                M,  1.80 m,  b. 14 Jul 1998 @ Asnières-sur-Seine
Yann Karamoh,                 F,  1.85 m,  b. 8 Jul 1998 @ Abidjan
Faitout Maouassa,             D,  1.70 m,  b. 6 Jul 1998 @ Villepinte
Mahdi Camara,                 M,  1.78 m,  b. 30 Jun 1998 @ Martigues
Jean-Ricner Bellegarde,       M,  1.70 m,  b. 27 Jun 1998 @ Colombe
Youssef Maziz,                M,  1.75 m,  b. 24 Jun 1998 @ Thionville
Arnaud Nordin,                F,  1.70 m,  b. 17 Jun 1998 @ Paris
Jean-Victor Makengo,          M,  1.77 m,  b. 12 Jun 1998 @ Etampes
Alexis Claude-Maurice,        M,  1.74 m,  b. 6 Jun 1998 @ Noisy-le-Grand
Yoël Armougom,                D,  1.73 m,  b. 5 Jun 1998 @ Saint-Denis
Hugo Magnetti,                M,  1.73 m,  b. 30 May 1998 @ Marseille
Jonathan Ikoné,               F,  1.80 m,  b. 2 May 1998 @ Bondy
Jérémy Le Douaron,            F,  1.89 m,  b. 21 Apr 1998 @ Saint-Brieuc
Warren Tchimbembé,            M,  1.80 m,  b. 21 Apr 1998 @ Gonesse
Yann Kitala,                  F,  1.86 m,  b. 9 Apr 1998 @ Paris
Axel Disasi,                  D,  1.90 m,  b. 11 Mar 1998 @ Gonesse
Kelvin Amian,                 D,  1.80 m,  b. 8 Feb 1998 @ Toulouse
Jeff Reine-Adélaïde,          M,  1.83 m,  b. 17 Jan 1998 @ Champigny-sur-Marne
Odsonne Édouard,              F,  1.83 m,  b. 16 Jan 1998 @ Kourou
Jessy Deminguet,              M,  1.78 m,  b. 7 Jan 1998 @ Caen

Ludovic Blas,                 M,  1.80 m,  b. 31 Dec 1997 @ Colombes
Randy Nteka,                  M,  1.89 m,  b. 6 Dec 1997 @ Paris
Maxime López,                 M,  1.67 m,  b. 4 Dec 1997 @ Marseille
Christopher Nkunku,           F,  1.75 m,  b. 14 Nov 1997 @ Lagny-sur-Marne
Nordi Mukiele,                D,  1.85 m,  b. 1 Nov 1997 @ Montreuil
Ibrahima Sissoko,             M,  1.93 m,  b. 27 Oct 1997 @ Meaux
Théo Hernández,               D,  1.84 m,  b. 6 Oct 1997 @ Marseille
Romain Perraud,               D,  1.73 m,  b. 22 Sep 1997 @ Toulouse
Irvin Cardona,                F,  1.85 m,  b. 8 Aug 1997 @ Nîmes
Marcus Thuram,                F,  1.88 m,  b. 6 Aug 1997 @ Parma
Julien Le Cardinal,           D,  1.82 m,  b. 3 Aug 1997 @ Saint-Brieuc
Jean-Kévin Duverne,           D,  1.84 m,  b. 12 Jul 1997 @ Paris
Anthony Caci,                 D,  1.84 m,  b. 1 Jul 1997 @ Forbach
Jean-Philippe Mateta,         F,  1.92 m,  b. 28 Jun 1997 @ Clamart
Yohann Magnin,                M,  1.83 m,  b. 21 Jun 1997 @ Clermont-Ferrand
Ousmane Dembélé,              F,  1.78 m,  b. 15 May 1997 @ Vernon
Christopher Operi,            D,  1.83 m,  b. 29 Apr 1997 @ Abidjan
