=================================
=  Germany

Matteo Palma,                 D,  1.94 m,  b. 13 Mar 2008 @ Berlin
Leopold Zingerle,             G,  1.85 m,  b. 10 Apr 1994 @ Munich
Janik Haberer,                M,  1.87 m,  b. 2 Apr 1994 @ Wangen im Allgäu
Yannick Gerhardt,             M,  1.84 m,  b. 13 Mar 1994 @ Würselen
Marvin Ducksch,               F,  1.86 m,  b. 7 Mar 1994 @ Dortmund
Maximilian Philipp,           F,  1.79 m,  b. 1 Mar 1994 @ Berlin
Christopher Antwi-Adjej,      M,  1.73 m,  b. 7 Feb 1994 @ Hagen
Dominik Kohr,                 M,  1.83 m,  b. 31 Jan 1994 @ Trier
Rani Khedira,                 M,  1.85 m,  b. 27 Jan 1994 @ Stuttgart
Hendrik Bonmann,              G,  1.91 m,  b. 22 Jan 1994 @ Essen
Cimo Röcker,                  D,  1.86 m,  b. 21 Jan 1994 @ Schneverdingen
Matthias Ginter,              D,  1.87 m,  b. 19 Jan 1994 @ March
Jannik Müller,                D,  1.86 m,  b. 18 Jan 1994 @ Adenau
Emre Can,                     M,  1.84 m,  b. 12 Jan 1994 @ Frankfurt am Main
Fabian Schnellhardt,          M,  1.79 m,  b. 12 Jan 1994 @ Leinefelde

Leonardo Bittencourt,         M,  1.71 m,  b. 19 Dec 1993 @ Leipzig
Philipp Max,                  D,  1.78 m,  b. 30 Sep 1993 @ Viersen
Julian Draxler,               M,  1.83 m,  b. 20 Sep 1993 @ Gladbeck
Dominique Heintz,             D,  1.90 m,  b. 15 Aug 1993 @ Neustadt an der Weinstraße
Benjamin Uphoff,              G,  1.90 m,  b. 8 Aug 1993 @ Burghausen
Niklas Lomb,                  G,  1.88 m,  b. 28 Jul 1993 @ Cologne
Danny da Costa,               D,  1.75 m,  b. 13 Jul 1993 @ Neuss
Loris Karius,                 G,  1.89 m,  b. 22 Jun 1993 @ Biberach
Timo Horn,                    G,  1.90 m,  b. 12 May 1993 @ Cologne
Philipp Hofmann,              F,  1.94 m,  b. 30 Mar 1993 @ Arnsberg
Marius Bülter,                F,  1.88 m,  b. 29 Mar 1993 @ Ibbenbüren
Philipp Ziereis,              D,  1.89 m,  b. 14 Mar 1993 @ Schwarzhofen
Antonio Rüdiger,              D,  1.90 m,  b. 3 Mar 1993 @ Berlin
Christian Günter,             D,  1.84 m,  b. 28 Feb 1993 @ Villingen
Niclas Füllkrug,              F,  1.88 m,  b. 9 Feb 1993 @ Hannover
Marcel Schuhen,               G,  1.89 m,  b. 13 Jan 1993 @ Kirchen (Sieg)
Christoph Zimmermann,         D,  1.94 m,  b. 12 Jan 1993 @ Düsseldorf

Stefan Ortega,                G,  1.83 m,  b. 6 Nov 1992 @ Hofgeismar
Lukas Kübler,                 D,  1.83 m,  b. 30 Aug 1992 @ Bonn
Denis Thomalla,               F,  1.86 m,  b. 16 Aug 1992 @ Pforzheim
