=================================
=  Switzerland

Granit Lekaj,                 D,  1.86 m,  b. 23 Feb 1990 @ Pristina

Mario Gavranović,             F,  1.75 m,  b. 24 Nov 1989 @ Lugano
Pascal Schürpf,               M,  1.86 m,  b. 15 Jul 1989 @ Basel
Valentin Stocker,             M,  1.78 m,  b. 12 Apr 1989 @ Basel
Fabian Frei,                  M,  1.81 m,  b. 8 Jan 1989 @ Frauenfeld

Yann Sommer,                  G,  1.83 m,  b. 17 Dec 1988 @ Morges
Simone Grippo,                D,  1.88 m,  b. 12 Dec 1988 @ Basel
Eren Derdiyok,                F,  1.90 m,  b. 12 Jun 1988 @ Basel
Fabian Lustenberger,          D,  1.80 m,  b. 2 May 1988 @ Nebikon

Marwin Hitz,                  G,  1.92 m,  b. 18 Sep 1987 @ St. Gallen
Pirmin Schwegler,             M,  1.76 m,  b. 9 Mar 1987 @ Ettiswil
Johan Djourou,                D,  1.91 m,  b. 18 Jan 1987 @ Abidjan

Gelson Fernandes,             M,  1.83 m,  b. 2 Sep 1986 @ Praia
Blerim Džemaili,              M,  1.79 m,  b. 12 Apr 1986 @ Tetovo
Reto Ziegler,                 D,  1.83 m,  b. 16 Jan 1986 @ Geneva

Tranquillo Barnetta,          M,  1.78 m,  b. 22 May 1985 @ Rotmonten
Valon Behrami,                M,  1.85 m,  b. 19 Apr 1985 @ Kosovska Mitrovica
Philippe Senderos,            D,  1.90 m,  b. 14 Feb 1985 @ Geneva

Johnny Leoni,                 G,  1.89 m,  b. 30 Jun 1984 @ Sion
Gökhan Inler,                 M,  1.82 m,  b. 27 Jun 1984 @ Olten
Stephan Lichtsteiner,         D,  1.81 m,  b. 16 Jan 1984 @ Adligenswil

Marco Padalino,               M,  1.77 m,  b. 8 Dec 1983 @ Viganello
Albert Bunjaku,               F,  1.78 m,  b. 29 Nov 1983 @ Gnjilane
Diego Benaglio,               G,  1.93 m,  b. 8 Sep 1983 @ Zürich
Steve von Bergen,             D,  1.81 m,  b. 10 Jun 1983 @ Neuchâtel

Marco Wölfli,                 G,  1.86 m,  b. 22 Aug 1982 @ Grenchen

Mario Eggimann,               D,  1.90 m,  b. 24 Jan 1981 @ Brugg

Alexander Frei,               F,  1.79 m,  b. 15 Jul 1979 @ Basel
Ludovic Magnin,               D,  1.86 m,  b. 20 Apr 1979 @ Lausanne
Stéphane Grichting,           D,  1.86 m,  b. 30 Mar 1979 @ Sierre

Benjamin Huggel,              M,  1.88 m,  b. 7 Jul 1977 @ Dornach
Hakan Yakin,                  F,  1.80 m,  b. 22 Feb 1977 @ Basel

Blaise Nkufo,                 F,  1.86 m,  b. 25 May 1975 @ Kinshasa
