=================================
=  Belgium

Koen Casteels,                G,  1.96 m,  b. 25 Jun 1992 @ Bonheiden
Thibaut Courtois,             G,  1.99 m,  b. 11 May 1992 @ Bree
Bruno Godeau,                 D,  1.90 m,  b. 10 May 1992 @ Brussels
Théo Defourny,                G,  1.94 m,  b. 25 Apr 1992 @ Bourg-Saint-Maurice
Noë Dussenne,                 D,  1.91 m,  b. 7 Apr 1992 @ Mons
Matz Sels,                    G,  1.88 m,  b. 26 Feb 1992 @ Lint
Pierre-Yves Ngawa,            D,  1.87 m,  b. 9 Feb 1992 @ Liège

Renaud Emond,                 F,  1.86 m,  b. 5 Dec 1991 @ Virton
Ziguy Badibanga,              M,  1.89 m,  b. 26 Nov 1991 @ Evere
Geoffry Hairemans,            M,  1.87 m,  b. 21 Oct 1991 @ Wilrijk
Thomas Meunier,               D,  1.91 m,  b. 12 Sep 1991 @ Sainte-Ode
Funso Ojo,                    M,  1.77 m,  b. 28 Aug 1991 @ Antwerp
Kevin De Bruyne,              M,  1.80 m,  b. 28 Jun 1991 @ Drongen
Christian Kabasele,           D,  1.86 m,  b. 24 Feb 1991 @ Lubumbashi
Lukas Van Eeno,               M,  1.75 m,  b. 6 Feb 1991 @ Brugge
Eden Hazard,                  M,  1.70 m,  b. 7 Jan 1991 @ La Louvière

Jo Coppens,                   G,  1.90 m,  b. 21 Dec 1990 @ Heusden
Christian Benteke,            F,  1.90 m,  b. 3 Dec 1990 @ Kinshasa
Dedryck Boyata,               D,  1.88 m,  b. 8 Sep 1990 @ Uccle
Jonathan Heris,               D,  1.84 m,  b. 3 Sep 1990 @ Brussels
Yannick Thoelen,              G,  1.88 m,  b. 18 Jul 1990 @ Tessenderlo
Guillaume François,           D,  1.73 m,  b. 3 Jun 1990 @ Libramont
Anthony Moris,                G,  1.84 m,  b. 29 Apr 1990 @ Liège

Joren Dom,                    D,  1.73 m,  b. 29 Nov 1989 @ Antwerp
Nacer Chadli,                 M,  1.87 m,  b. 2 Aug 1989 @ Liège
Koen Van Langendonck,         G,  1.89 m,  b. 9 Jun 1989 @ Neerpelt
Toby Alderweireld,            D,  1.85 m,  b. 2 Mar 1989 @ Wilrijk
Sébastien Bruzzese,           G,  1.84 m,  b. 1 Mar 1989 @ Liège
Vadis Odjidja-Ofoe,           M,  1.85 m,  b. 21 Feb 1989 @ Gent
Axel Witsel,                  M,  1.86 m,  b. 12 Jan 1989 @ Liège

Laurent Depoitre,             F,  1.90 m,  b. 7 Dec 1988 @ Tournai
Ritchie De Laet,              D,  1.86 m,  b. 28 Nov 1988 @ Antwerp
Sinan Bolat,                  G,  1.87 m,  b. 3 Sep 1988 @ Kayseki
Radja Nainggolan,             M,  1.75 m,  b. 4 May 1988 @ Antwerp
Steven Defour,                M,  1.73 m,  b. 15 Apr 1988 @ Mechelen
Simon Mignolet,               G,  1.93 m,  b. 6 Mar 1988 @ Sint-Truiden
Sven Kums,                    M,  1.76 m,  b. 26 Feb 1988 @ Asse

Davino Verhulst,              G,  1.91 m,  b. 25 Nov 1987 @ Beveren
Marouane Fellaini,            M,  1.94 m,  b. 22 Nov 1987 @ Etterbeek
Anthony Vanden Borre,         D,  1.85 m,  b. 24 Oct 1987 @ Likasi
Kevin Mirallas,               F,  1.78 m,  b. 5 Oct 1987 @ Liège
Mousa Dembélé,                M,  1.77 m,  b. 17 Jul 1987 @ Wilrijk
Dries Mertens,                F,  1.69 m,  b. 6 May 1987 @ Leuven
Jan Vertonghen,               D,  1.89 m,  b. 24 Apr 1987 @ Sint-Niklaas

Vincent Kompany,              D,  1.91 m,  b. 10 Apr 1986 @ Ukkel

Thomas Vermaelen,             D,  1.82 m,  b. 14 Nov 1985 @ Kapellen
Sammy Bossut,                 G,  1.85 m,  b. 11 Aug 1985 @ Oostrozebeke
Laurent Ciman,                D,  1.80 m,  b. 5 Aug 1985 @ Farciennes
Nicolas Lombaerts,            D,  1.88 m,  b. 20 Mar 1985 @ Brugge

Jean-François Gillet,         G,  1.81 m,  b. 31 May 1979 @ Liège

Daniel van Buyten,            D,  1.96 m,  b. 7 Feb 1978 @ Chimay
