=================================
=  Norway

Conrad Wallem,                M,  1.80 m,  b. 9 Jun 2000 @ Husøy
Kevin Martin Krygård,         M|F,1.79 m,  b. 17 May 2000 @ Haugesund
Kevin Egell-Johnsen,          D,  1.77 m,  b. 13 May 2000 @ Langesund
Andreas Gundersen,            F,  1.82 m,  b. 11 May 2000 @ Levanger
Tobias Christensen,           M,  1.78 m,  b. 11 May 2000 @ Kristiansand
Markus Karlsbakk,             M,  1.80 m,  b. 7 May 2000 @ Ålesund
Torje Naustdal,               M,  1.78 m,  b. 26 Apr 2000 @ Florø
Herman Haugen,                D,  1.81 m,  b. 25 Apr 2000 @ Oslo
Herman Johan Haugen,          D,  - ,      b. 25 Apr 2000
Colin Rösler,                 D,  1.86 m,  b. 22 Apr 2000 @ Berlin
Teodor Berg Haltvik,          M,  1.82 m,  b. 9 Apr 2000 @ Trondheim
Magnus Strandman Lundal,      M,  1.80 m,  b. 6 Apr 2000
Marius Tollefsen,             G,  - ,      b. 31 Mar 2000
Håkon Butli Hammer,           M,  1.87 m,  b. 28 Mar 2000 @ Stadsbygd
Jakob Dunsby,                 F,  1.73 m,  b. 13 Mar 2000 @ Nøtterøy
Simen Vidtun Nilsen,          G,  1.91 m,  b. 3 Mar 2000 @ Halden
Hugo Vetlesen,                M,  1.73 m,  b. 29 Feb 2000 @ Bærum
Ruben Alte,                   M,  1.77 m,  b. 28 Feb 2000 @ Namsos
Erik Tobias Sandberg,         D,  1.90 m,  b. 27 Feb 2000 @ Lillestrøm
Sigurd Kvile,                 D,  1.87 m,  b. 26 Feb 2000 @ Bergen
Mohammed Hopsdal Abbas,       D,  1.83 m,  b. 18 Feb 2000 @ Oslo
