=================================
=  Netherlands

Mitchel Bakker,               D,  1.78 m,  b. 20 Jun 2000 @ Purmerend
Ole Romeny,                   F,  1.85 m,  b. 20 Jun 2000 @ Nijmegen
Thomas Buitink,               F,  1.74 m,  b. 14 Jun 2000 @ Nijkerk
Jan Paul van Hecke,           D,  1.89 m,  b. 8 Jun 2000 @ Arnemuiden
Jay Idzes,                    M,  1.84 m,  b. 2 Jun 2000 @ Mierlo
Ludovit Reis,                 M,  1.85 m,  b. 1 Jun 2000 @ Haarlem
Jay Gorter,                   G,  1.90 m,  b. 30 May 2000 @ Purmerend
Jan de Boer,                  G,  1.99 m,  b. 20 May 2000 @ Sneek
Kyan van Dorp,                G,  1.87 m,  b. 17 May 2000 @ Nieuwegein
Dean Huiberts,                M,  1.86 m,  b. 16 May 2000 @ Kampen
Kees de Boer,                 M,  1.79 m,  b. 13 May 2000 @ Volendam
Azzedine Dkidak,              D,  1.77 m,  b. 11 May 2000 @ Amsterdam
Jop van der Avert,            D,  1.82 m,  b. 11 May 2000 @ Bergen op Zoom
Thijs Oosting,                M,  1.76 m,  b. 11 May 2000 @ Emmen
Zakaria Eddahchouri,          M,  1.87 m,  b. 11 May 2000 @ Papendrecht
Fabian de Keijzer,            G,  1.93 m,  b. 10 May 2000 @ Leusden
Peer Koopmeiners,             M,  1.86 m,  b. 4 May 2000 @ Amsterdam
Dean James,                   D,  - ,      b. 30 Apr 2000 @ Leiden
Bradly van Hoeven,            F,  1.74 m,  b. 17 Apr 2000 @ Maassluis
Robin Jalving,                G,  1.93 m,  b. 11 Apr 2000 @ Schoonebeek
Joey Jacobs,                  D,  1.83 m,  b. 10 Apr 2000 @ Purmerend
Brian Plat,                   D,  1.91 m,  b. 5 Apr 2000 @ Volendam
Jurgen Ekkelenkamp,           M,  1.83 m,  b. 5 Apr 2000 @ Zeist
Sam Crowther,                 F,  1.76 m,  b. 3 Apr 2000 @ Groningen
Darius Johnson,               F,  - ,      b. 15 Mar 2000 @ Chelsea
Youri Schoonderwaldt,         G,  1.85 m,  b. 13 Mar 2000 @ Den Haag
Levi Andoh,                   D,  1.91 m,  b. 12 Mar 2000 @ Amsterdam
Sven Mijnans,                 M,  1.79 m,  b. 9 Mar 2000 @ Spijkenisse
Yahya Boussakou,              F,  1.75 m,  b. 4 Mar 2000 @ Den Haag
Evert Linthorst,              M,  1.82 m,  b. 3 Mar 2000 @ Venlo
Ruben Roosken,                D,  1.83 m,  b. 2 Mar 2000 @ Emmen
Zakaria Aboukhlal,            F,  1.78 m,  b. 18 Feb 2000 @ Rotterdam
Dogucan Haspolat,             M,  1.73 m,  b. 11 Feb 2000 @ Rotterdam
Anton Fase,                   F,  1.85 m,  b. 6 Feb 2000 @ Haarlem
Sydney van Hooijdonk,         F,  1.90 m,  b. 6 Feb 2000 @ Breda
Davy van den Berg,            M,  1.85 m,  b. 4 Feb 2000 @ Uden
Jesse Bosch,                  M,  1.76 m,  b. 1 Feb 2000 @ De Lutte
